ssh.m3_detect_model.conv1.weight,vgg_16.M3.conv1.weights
ssh.m3_detect_model.conv1.bias,vgg_16.M3.conv1.biases
ssh.m3_detect_model.context_model.conv.0.weight,vgg_16.M3.context_module.conv1.weights
ssh.m3_detect_model.context_model.conv.0.bias,vgg_16.M3.context_module.conv1.biases
ssh.m3_detect_model.context_model.channel_1.0.weight,vgg_16.M3.context_module.conv2.weights
ssh.m3_detect_model.context_model.channel_1.0.bias,vgg_16.M3.context_module.conv2.biases
ssh.m3_detect_model.context_model.channel_2.0.weight,vgg_16.M3.context_module.conv3.weights
ssh.m3_detect_model.context_model.channel_2.0.bias,vgg_16.M3.context_module.conv3.biases
ssh.m3_detect_model.context_model.channel_2.2.weight,vgg_16.M3.context_module.conv4.weights
ssh.m3_detect_model.context_model.channel_2.2.bias,vgg_16.M3.context_module.conv4.biases
ssh.m3_detect_model.cls.weight,vgg_16.M3_box.M3_rpn_cls_score.weights
ssh.m3_detect_model.cls.bias,vgg_16.M3_box.M3_rpn_cls_score.biases
ssh.m3_detect_model.reg.weight,vgg_16.M3_box.M3_rpn_bbox_pred.weights
ssh.m3_detect_model.reg.bias,vgg_16.M3_box.M3_rpn_bbox_pred.biases
ssh.m2_detect_model.conv1.weight,vgg_16.M2.conv1.weights
ssh.m2_detect_model.conv1.bias,vgg_16.M2.conv1.biases
ssh.m2_detect_model.context_model.conv.0.weight,vgg_16.M2.context_module.conv1.weights
ssh.m2_detect_model.context_model.conv.0.bias,vgg_16.M2.context_module.conv1.biases
ssh.m2_detect_model.context_model.channel_1.0.weight,vgg_16.M2.context_module.conv2.weights
ssh.m2_detect_model.context_model.channel_1.0.bias,vgg_16.M2.context_module.conv2.biases
ssh.m2_detect_model.context_model.channel_2.0.weight,vgg_16.M2.context_module.conv3.weights
ssh.m2_detect_model.context_model.channel_2.0.bias,vgg_16.M2.context_module.conv3.biases
ssh.m2_detect_model.context_model.channel_2.2.weight,vgg_16.M2.context_module.conv4.weights
ssh.m2_detect_model.context_model.channel_2.2.bias,vgg_16.M2.context_module.conv4.biases
ssh.m2_detect_model.cls.weight,vgg_16.M2_box.M2_rpn_cls_score.weights
ssh.m2_detect_model.cls.bias,vgg_16.M2_box.M2_rpn_cls_score.biases
ssh.m2_detect_model.reg.weight,vgg_16.M2_box.M2_rpn_bbox_pred.weights
ssh.m2_detect_model.reg.bias,vgg_16.M2_box.M2_rpn_bbox_pred.biases
ssh.m1_dim_red1.weight,vgg_16.M1.conv1_1.weights
ssh.m1_dim_red1.bias,vgg_16.M1.conv1_1.biases
ssh.m1_dim_red2.weight,vgg_16.M1.conv1_2.weights
ssh.m1_dim_red2.bias,vgg_16.M1.conv1_2.biases
ssh.m1_conv.0.weight,vgg_16.M1.conv1.weights
ssh.m1_conv.0.bias,vgg_16.M1.conv1.biases
ssh.m1_detect_model.conv1.weight,vgg_16.M1.conv2.weights
ssh.m1_detect_model.conv1.bias,vgg_16.M1.conv2.biases
ssh.m1_detect_model.context_model.conv.0.weight,vgg_16.M1.context_module.conv1.weights
ssh.m1_detect_model.context_model.conv.0.bias,vgg_16.M1.context_module.conv1.biases
ssh.m1_detect_model.context_model.channel_1.0.weight,vgg_16.M1.context_module.conv2.weights
ssh.m1_detect_model.context_model.channel_1.0.bias,vgg_16.M1.context_module.conv2.biases
ssh.m1_detect_model.context_model.channel_2.0.weight,vgg_16.M1.context_module.conv3.weights
ssh.m1_detect_model.context_model.channel_2.0.bias,vgg_16.M1.context_module.conv3.biases
ssh.m1_detect_model.context_model.channel_2.2.weight,vgg_16.M1.context_module.conv4.weights
ssh.m1_detect_model.context_model.channel_2.2.bias,vgg_16.M1.context_module.conv4.biases
ssh.m1_detect_model.cls.weight,vgg_16.M1_box.M1_rpn_cls_score.weights
ssh.m1_detect_model.cls.bias,vgg_16.M1_box.M1_rpn_cls_score.biases
ssh.m1_detect_model.reg.weight,vgg_16.M1_box.M1_rpn_bbox_pred.weights
ssh.m1_detect_model.reg.bias,vgg_16.M1_box.M1_rpn_bbox_pred.biases
ssh.vgg.conv4_3.0.weight,vgg_16.conv1.conv1_1.weights
ssh.vgg.conv4_3.0.bias,vgg_16.conv1.conv1_1.biases
ssh.vgg.conv4_3.2.weight,vgg_16.conv1.conv1_2.weights
ssh.vgg.conv4_3.2.bias,vgg_16.conv1.conv1_2.biases
ssh.vgg.conv4_3.5.weight,vgg_16.conv2.conv2_1.weights
ssh.vgg.conv4_3.5.bias,vgg_16.conv2.conv2_1.biases
ssh.vgg.conv4_3.7.weight,vgg_16.conv2.conv2_2.weights
ssh.vgg.conv4_3.7.bias,vgg_16.conv2.conv2_2.biases
ssh.vgg.conv4_3.10.weight,vgg_16.conv3.conv3_1.weights
ssh.vgg.conv4_3.10.bias,vgg_16.conv3.conv3_1.biases
ssh.vgg.conv4_3.12.weight,vgg_16.conv3.conv3_2.weights
ssh.vgg.conv4_3.12.bias,vgg_16.conv3.conv3_2.biases
ssh.vgg.conv4_3.14.weight,vgg_16.conv3.conv3_3.weights
ssh.vgg.conv4_3.14.bias,vgg_16.conv3.conv3_3.biases
ssh.vgg.conv4_3.17.weight,vgg_16.conv4.conv4_1.weights
ssh.vgg.conv4_3.17.bias,vgg_16.conv4.conv4_1.biases
ssh.vgg.conv4_3.19.weight,vgg_16.conv4.conv4_2.weights
ssh.vgg.conv4_3.19.bias,vgg_16.conv4.conv4_2.biases
ssh.vgg.conv4_3.21.weight,vgg_16.conv4.conv4_3.weights
ssh.vgg.conv4_3.21.bias,vgg_16.conv4.conv4_3.biases
ssh.vgg.conv5_3.1.weight,vgg_16.conv5.conv5_1.weights
ssh.vgg.conv5_3.1.bias,vgg_16.conv5.conv5_1.biases
ssh.vgg.conv5_3.3.weight,vgg_16.conv5.conv5_2.weights
ssh.vgg.conv5_3.3.bias,vgg_16.conv5.conv5_2.biases
ssh.vgg.conv5_3.5.weight,vgg_16.conv5.conv5_3.weights
ssh.vgg.conv5_3.5.bias,vgg_16.conv5.conv5_3.biases
